time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
4.948334625026234e-007	-7.999920e+000	1.300371e+001	-6.152030e-001
5.050358944950349e-007	-7.999918e+000	1.310692e+001	-6.103586e-001
5.208449366890607e-007	-7.999916e+000	1.322129e+001	-6.050783e-001
5.403106902803065e-007	-7.999913e+000	1.331294e+001	-6.009127e-001
5.429372455068626e-007	-7.999912e+000	1.332027e+001	-6.005819e-001
5.481903559599749e-007	-7.999911e+000	1.332824e+001	-6.002227e-001
5.586965768661994e-007	-7.999910e+000	1.333996e+001	-5.996951e-001
5.590248962695190e-007	-7.999910e+000	1.334022e+001	-5.996837e-001
5.596815350761580e-007	-7.999909e+000	1.334056e+001	-5.996683e-001
5.609948126894360e-007	-7.999909e+000	1.334116e+001	-5.996412e-001
5.639781997223277e-007	-7.999909e+000	1.334230e+001	-5.995898e-001
5.652504374101909e-007	-7.999909e+000	1.334262e+001	-5.995753e-001
5.665637150234689e-007	-7.999908e+000	1.334287e+001	-5.995645e-001
5.691902702500251e-007	-7.999908e+000	1.334311e+001	-5.995534e-001
5.744433807031374e-007	-7.999907e+000	1.334290e+001	-5.995629e-001
5.849496016093619e-007	-7.999906e+000	1.334106e+001	-5.996453e-001
6.059620434218110e-007	-7.999902e+000	1.333738e+001	-5.998107e-001
6.437534200772511e-007	-7.999896e+000	1.333491e+001	-5.999213e-001
6.488046470985119e-007	-7.999896e+000	1.333558e+001	-5.998913e-001
6.589071011410335e-007	-7.999894e+000	1.333894e+001	-5.997397e-001
6.791120092260767e-007	-7.999890e+000	1.334837e+001	-5.993159e-001
7.195218253961633e-007	-7.999884e+000	1.337139e+001	-5.982838e-001
7.257177694521206e-007	-7.999883e+000	1.337526e+001	-5.981106e-001
7.419821225990088e-007	-7.999880e+000	1.338582e+001	-5.976384e-001
7.528250246969342e-007	-7.999879e+000	1.339275e+001	-5.973290e-001
7.961966330886359e-007	-7.999872e+000	1.341944e+001	-5.961405e-001
8.085885212005507e-007	-7.999870e+000	1.342679e+001	-5.958140e-001
8.333722974243803e-007	-7.999866e+000	1.344137e+001	-5.951673e-001
8.829424970649344e-007	-7.999858e+000	1.347040e+001	-5.938841e-001
8.831410365320596e-007	-7.999858e+000	1.347052e+001	-5.938790e-001
8.899631392047482e-007	-7.999857e+000	1.347449e+001	-5.937037e-001
9.032772091652127e-007	-7.999855e+000	1.348227e+001	-5.933611e-001
9.170449137407254e-007	-7.999853e+000	1.349033e+001	-5.930063e-001
9.446568229994776e-007	-7.999848e+000	1.350655e+001	-5.922941e-001
9.818324873352218e-007	-7.999842e+000	1.352843e+001	-5.913358e-001
1.044511772322574e-006	-7.999832e+000	1.356541e+001	-5.897228e-001
1.047257384067707e-006	-7.999832e+000	1.356703e+001	-5.896523e-001
1.115477657408188e-006	-7.999821e+000	1.360740e+001	-5.879024e-001
1.152653321743932e-006	-7.999815e+000	1.362945e+001	-5.869506e-001
1.202220874191591e-006	-7.999807e+000	1.365893e+001	-5.856832e-001
1.310039735946877e-006	-7.999790e+000	1.372340e+001	-5.829307e-001
1.363198539328966e-006	-7.999781e+000	1.375532e+001	-5.815772e-001
1.432218921109994e-006	-7.999770e+000	1.379698e+001	-5.798205e-001
1.478532291029819e-006	-7.999763e+000	1.382503e+001	-5.786434e-001
1.591421130209393e-006	-7.999744e+000	1.389382e+001	-5.757771e-001
1.660891185089132e-006	-7.999733e+000	1.393644e+001	-5.740157e-001
1.753517924928782e-006	-7.999719e+000	1.399361e+001	-5.716695e-001
1.938771404608084e-006	-7.999689e+000	1.410920e+001	-5.669840e-001
2.271767860064989e-006	-7.999636e+000	1.432147e+001	-5.585764e-001
2.635435726452438e-006	-7.999578e+000	1.456031e+001	-5.494100e-001
3.089632674844580e-006	-7.999505e+000	1.486958e+001	-5.379781e-001
3.614093240334907e-006	-7.999421e+000	1.524303e+001	-5.247921e-001
4.293957910326208e-006	-7.999312e+000	1.575555e+001	-5.077138e-001
5.076780293752072e-006	-7.999187e+000	1.638969e+001	-4.880622e-001
6.128290598946706e-006	-7.999019e+000	1.732598e+001	-4.616777e-001
6.291817355571192e-006	-7.998992e+000	1.748124e+001	-4.575757e-001
6.846837226965441e-006	-7.998904e+000	1.802961e+001	-4.436538e-001
7.004966357823957e-006	-7.998878e+000	1.819216e+001	-4.396882e-001
7.115444234246536e-006	-7.998861e+000	1.830751e+001	-4.369170e-001
7.196016234157830e-006	-7.998848e+000	1.839254e+001	-4.348964e-001
7.256236721858487e-006	-7.998838e+000	1.845659e+001	-4.333865e-001
7.302831281438424e-006	-7.998831e+000	1.850649e+001	-4.322177e-001
7.340548464193375e-006	-7.998825e+000	1.854706e+001	-4.312717e-001
7.370725291815331e-006	-7.998820e+000	1.857965e+001	-4.305151e-001
7.396322577415510e-006	-7.998816e+000	1.860739e+001	-4.298731e-001
7.399204496402026e-006	-7.998816e+000	1.861052e+001	-4.298009e-001
7.404968334375058e-006	-7.998815e+000	1.861677e+001	-4.296563e-001
7.416496010321121e-006	-7.998813e+000	1.862930e+001	-4.293672e-001
7.435188118543653e-006	-7.998810e+000	1.864966e+001	-4.288985e-001
7.435898556723700e-006	-7.998809e+000	1.865043e+001	-4.288806e-001
7.437319433083796e-006	-7.998809e+000	1.865198e+001	-4.288450e-001
7.440161185803987e-006	-7.998809e+000	1.865508e+001	-4.287737e-001
7.440871623984035e-006	-7.998809e+000	1.865586e+001	-4.287559e-001
7.442523628650485e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442523628835746e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442523628856919e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442523628899264e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442523628912498e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442523628917791e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442524117199041e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442524464336492e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.442524473873236e-006	-7.998808e+000	1.865766e+001	-4.287145e-001
7.443524470058539e-006	-7.998808e+000	1.865875e+001	-4.286894e-001
7.444524470058538e-006	-7.998808e+000	1.865984e+001	-4.286643e-001
7.446524470058538e-006	-7.998808e+000	1.866202e+001	-4.286142e-001
7.450524470058539e-006	-7.998807e+000	1.866639e+001	-4.285139e-001
7.458524470058538e-006	-7.998806e+000	1.867513e+001	-4.283132e-001
7.474524470058539e-006	-7.998803e+000	1.869264e+001	-4.279120e-001
7.499510410945200e-006	-7.998799e+000	1.872004e+001	-4.272854e-001
7.527019805651221e-006	-7.998795e+000	1.875030e+001	-4.265955e-001
7.559485832087556e-006	-7.998790e+000	1.878614e+001	-4.257814e-001
7.592869958739187e-006	-7.998785e+000	1.882314e+001	-4.249442e-001
7.630097538257076e-006	-7.998778e+000	1.886457e+001	-4.240106e-001
